featurename,semanticid,definitiontag,feature_rank,importance
Scrub,1140554622,natural=scrub,689,10
Grassland Area,3852273437,natural=grassland,690,10
Locale,807667435,natural=locale,691,10
Orchard,2016483674,landuse=orchard,692,10
Volcano,3856317313,natural=volcano,693,10
Heath,1130439111,natural=heath,694,10
Quarry,956311277,landuse=quarry,695,10
Oasis,1136801562,natural=oasis,696,10
Shingle,990965045,natural=shingle,697,10
Managed Grass,2207528232,landuse=grass,698,10
Bare Rock,3718277512,natural=bare_rock,699,10
Reservoir,4041536062,natural=reservoir,700,10
Natural Area,352180837,natural=yes,701,10
Rock,2807719990,natural=rock,702,10
Saddle,995174872,natural=saddle,703,10
Volcanic Caldera Rim,627048288,geological=volcanic_caldera_rim,704,10
Islet,1131789824,place=islet,705,10
Peak,2807650736,natural=peak,706,10
Arete,1124365588,natural=arete,707,10
Wetland,170218464,natural=wetland,708,10
Plateau,2730726233,natural=plateau,709,10
Dune,2807309017,natural=dune,710,10
Island,725742246,place=island,711,10
Meadow,827004788,landuse=meadow,712,10
Reef,2807710437,natural=reef,713,10
Fumarole,2523902442,natural=fumarole,714,10
Flowerbed,524096021,landuse=flowerbed,715,10
Hot Spring,1259685513,natural=hot_spring,716,10
River Crossing,156376093,natural=river_crossing,717,10
Sand,2807736661,natural=sand,718,10
Village Green,3801140616,landuse=village_green,719,10
Rapids,966907784,natural=rapids,720,10
Valley,1081308144,natural=valley,721,10
Blowhole,527307715,natural=blowhole,722,10
Cape,2807260068,natural=cape,723,10
Shoal,1140700084,natural=shoal,724,10
Sinkhole,1683057188,natural=sinkhole,725,10
Ridge,1139795962,natural=ridge,726,10
Pan,4246989228,natural=pan,727,10
Cove,2807273708,natural=cove,728,10
Shrubbery,2722726563,natural=shrubbery,729,10
Cave Entrance,1473582388,natural=cave_entrance,730,10
Scree,1140554129,natural=scree,731,10
Harbour,3920884562,natural=harbour,732,10
Cave,2807260254,natural=cave,733,10
Volcanic Lava Field,1518970514,geological=volcanic_lava_field,734,10
Woods,1144602805,natural=wood,735,10
Hill,2807416594,natural=hill,736,10
Cliff,1126037295,natural=cliff,737,10
Vineyard,2611472949,landuse=vineyard,738,10
Spring,1009449630,natural=spring,739,10
Glacier,3332625214,natural=glacier,740,10
Tundra,1042572535,natural=tundra,741,10
Archipelago,3698845492,place=archipelago,742,10
Geyser,655958966,natural=geyser,743,10
Isthmus,1030769532,natural=isthmus,744,10
Earth Bank,2918469493,natural=earth_bank,745,10
Plain,1138035481,natural=plain,746,10
Bay,4246975785,natural=bay,747,10
Waterfall,1804937953,waterway=waterfall,748,10
Gorge,1129829431,natural=gorge,749,10
Charging Location,1846330309,amenity=charging_location,750,5
# Electric Vehicle Charging Station,null,null,751,5
